40543242.9060,3348394.2010
40543704.3920,3348283.4720
40544062.0150,3348195.3110
40545217.8630,3348078.3740
40545145.5500,3347816.2350
40544989.5010,3347642.2590
40544942.4770,3347556.8930
40544844.9300,3347231.0050
40545499.8460,3347120.1260
40545355.7940,3346588.5680
40545252.1220,3346622.7400
40545158.3510,3346579.8030
40544956.1400,3346433.4920
40544435.4960,3346575.8770
40544504.8320,3346810.5380
40544152.4280,3346918.6300
40543754.4450,3346957.2700
40543091.3330,3347116.9020
40542804.3260,3347669.2040
40542595.8940,3348060.3550
40543053.9890,3348285.9220
40543148.9530,3348343.4620
40543154.9180,3348343.1500
40543242.9060,3348394.2010
